Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-10-25,New York,2.22559842,2017,1,2016,4
2016-10-25,North Carolina,2.22559842,2017,1,2016,4
2016-10-25,Ohio,2.22559842,2017,1,2016,4
2016-10-25,Rhode Island,2.22559842,2017,1,2016,4
2016-10-25,South Carolina,2.22559842,2017,1,2016,4
2016-10-25,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-26,Arizona,2.22559842,2017,1,2016,4
2016-10-26,Arkansas,2.22559842,2017,1,2016,4
2016-10-26,California,2.22559842,2017,1,2016,4
2016-10-26,Connecticut,2.22559842,2017,1,2016,4
2016-10-26,Delaware,2.22559842,2017,1,2016,4
2016-10-26,Indiana,2.22559842,2017,1,2016,4
2016-10-26,Kentucky,2.22559842,2017,1,2016,4
2016-10-26,New York,2.22559842,2017,1,2016,4
2016-10-26,North Carolina,2.22559842,2017,1,2016,4
2016-10-26,Ohio,2.22559842,2017,1,2016,4
2016-10-26,Rhode Island,2.22559842,2017,1,2016,4
2016-10-26,South Carolina,2.22559842,2017,1,2016,4
2016-10-26,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-27,Arizona,2.22559842,2017,1,2016,4
2016-10-27,Arkansas,2.22559842,2017,1,2016,4
2016-10-27,California,2.22559842,2017,1,2016,4
2016-10-27,Connecticut,2.22559842,2017,1,2016,4
2016-10-27,Delaware,2.22559842,2017,1,2016,4
2016-10-27,Indiana,2.22559842,2017,1,2016,4
2016-10-27,Kentucky,2.22559842,2017,1,2016,4
2016-10-27,New York,2.22559842,2017,1,2016,4
2016-10-27,North Carolina,2.22559842,2017,1,2016,4
2016-10-27,Ohio,2.22559842,2017,1,2016,4
2016-10-27,Rhode Island,2.22559842,2017,1,2016,4
2016-10-27,South Carolina,2.22559842,2017,1,2016,4
2016-10-27,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-28,Arizona,2.22559842,2017,1,2016,4
2016-10-28,Arkansas,2.22559842,2017,1,2016,4
2016-10-28,California,2.22559842,2017,1,2016,4
2016-10-28,Connecticut,2.22559842,2017,1,2016,4
2016-10-28,Delaware,2.22559842,2017,1,2016,4
2016-10-28,Indiana,2.22559842,2017,1,2016,4
2016-10-28,Kentucky,2.22559842,2017,1,2016,4
